 Year   Rice   Wheat   Cereals   Pulses   Grains   OilSeeds   Sugarcane   Cotton   Jute   Total
 1950-51   14.43   4.57   17.64   8.94   45.58   5.03   0.80   2.75   0.27   100.00
 1960-61   13.34   5.05   17.57   9.21   45.17   5.38   0.95   2.97   0.35   100.00
 1970-71   13.59   6.59   16.61   8.15   44.95   6.02   0.95   2.75   0.39   100.00
 1980-81   14.20   7.88   14.78   7.94   44.80   6.23   0.94   2.77   0.46   100.00
 1990-91   14.62   8.28   12.44   8.45   43.78   8.27   1.26   2.55   0.35   100.00 
 2000-01   16.04   9.23   10.86   7.30   43.43   8.17   1.55   3.06   0.37   100.00
 2007-08   15.13   9.66   9.81    8.14   42.75   9.20   1.74   3.24   0.33   100.00
 2008-09   15.82   9.64   9.53    7.67   42.66   9.57   1.53   3.27   0.31   100.00
 2009-10   14.77   10.03  9.75    8.20   42.75   9.15   1.47   3.57   0.32   100.00
 2010-11   14.40   9.77   9.52    8.87   42.57   9.15   1.64   3.78   0.29   100.00
 2011-12   14.97   10.16  8.99    8.32   42.44   8.95   1.71   4.14   0.31   100.00
 2012-13   14.89   10.41  8.65    8.24   42.20   9.32   1.78   4.21   0.30   100.00  
